"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"Computer Methods and Programs in Biomedicine","COMPUT METH PROG BIO","ELSEVIER IRELAND LTD","0169-2607","1872-7565","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","24,674","6.4","Q1","1.09","34.12"%,
"Intelligent Computing","INTELL COMPUT-WASH","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2771-5892","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","528","6.4","Q1","0.72","100"%,
"ADVANCES IN ENGINEERING SOFTWARE","ADV ENG SOFTW","ELSEVIER SCI LTD","0965-9978","1873-5339","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","12,783","6.3","Q1","1.4","18.39"%,
"Machine Learning with Applications","MACH LEARN APPL-NETH","ELSEVIER","N/A","2666-8270","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","3,314","6.1","Q1","1.16","100"%,
"INDUSTRIAL MANAGEMENT & DATA SYSTEMS","IND MANAGE DATA SYST","EMERALD GROUP PUBLISHING LTD","0263-5577","1758-5783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","9,746","6.1","Q1","0.9","1.93"%,
"IEEE Open Journal of the Computer Society","IEEE OPEN J COMP SOC","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","N/A","2644-1268","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,217","6","Q2","1.35","100"%,
"Computers & Education: X Reality","COMPUT EDUC-X REAL","ELSEVIER","N/A","2949-6780","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","510","5.9","Q2","1.33","100"%,
"JOURNAL OF BIOMEDICAL INFORMATICS","J BIOMED INFORM","ACADEMIC PRESS INC ELSEVIER SCIENCE","1532-0464","1532-0480","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","21,675","5.9","Q2","1","33.8"%,
"JOURNAL OF COMPUTING IN CIVIL ENGINEERING","J COMPUT CIVIL ENG","ASCE-AMER SOC CIVIL ENGINEERS","0887-3801","1943-5487","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,886","5.8","Q2","1.08","3.7"%,
"COMPUTERS & STRUCTURES","COMPUT STRUCT","PERGAMON-ELSEVIER SCIENCE LTD","0045-7949","1879-2243","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","17,903","5.6","Q2","1","27.86"%,
"COMPUTERS & ELECTRICAL ENGINEERING","COMPUT ELECTR ENG","PERGAMON-ELSEVIER SCIENCE LTD","0045-7906","1879-0755","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","17,455","5.5","Q2","1.07","12.03"%,
"Intelligent Systems with Applications","INTELL SYST APPL","ELSEVIER","N/A","2667-3053","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,543","5.5","Q2","0.96","100"%,
"VIRTUAL REALITY","VIRTUAL REAL-LONDON","SPRINGER LONDON LTD","1359-4338","1434-9957","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,907","5.4","Q2","1.04","87.87"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","SPRINGER","0924-8463","1572-8382","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","1,421","5.3","Q2","2.04","47.48"%,
"International Journal of Information and Learning Technology","INT J INF LEARN TECH","EMERALD GROUP PUBLISHING LTD","2056-4880","2056-4880","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","947","5.3","Q2","0.77","7.29"%,
"ENVIRONMENTAL MODELLING & SOFTWARE","ENVIRON MODELL SOFTW","ELSEVIER SCI LTD","1364-8152","1873-6726","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","20,197","5.2","Q2","0.86","42.24"%,
"Computers","COMPUTERS","MDPI","2073-431X","2073-431X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","5,733","5.2","Q2","0.73","100"%,
"Informatics-Basel","INFORMATICS-BASEL","MDPI","N/A","2227-9709","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","2,250","5.1","Q2","0.6","100"%,
"COMPUTERS & CHEMICAL ENGINEERING","COMPUT CHEM ENG","PERGAMON-ELSEVIER SCIENCE LTD","0098-1354","1873-4375","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,223","4.9","Q2","0.74","32.09"%,
"Health Data Science","HEALTH DATA SCI","AMER ASSOC ADVANCEMENT SCIENCE","N/A","2765-8783","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","391","4.8","Q2","0.75","100"%,
"Harvard Data Science Review","HARVARD DATA SCI REV","MIT PRESS","2688-8513","2644-2353","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,218","4.8","Q2","0.48","98.17"%,
"SIMULATION MODELLING PRACTICE AND THEORY","SIMUL MODEL PRACT TH","ELSEVIER","1569-190X","1878-1462","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,275","4.6","Q2","0.99","17.9"%,
"COMPUTERS & OPERATIONS RESEARCH","COMPUT OPER RES","PERGAMON-ELSEVIER SCIENCE LTD","0305-0548","1873-765X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","19,387","4.6","Q2","0.79","29.83"%,
"STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION","STRUCT MULTIDISCIP O","SPRINGER","1615-147X","1615-1488","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","18,491","4.5","Q2","0.94","25.81"%,
"Visual Informatics","VIS INFORM","ELSEVIER","2468-502X","2468-502X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","843","4.4","Q2","0.97","100"%,
"Computers and Concrete","COMPUT CONCRETE","TECHNO-PRESS","1598-8198","1598-818X","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","2,532","4.4","Q2","0.83","0"%,
"SOCIAL SCIENCE COMPUTER REVIEW","SOC SCI COMPUT REV","SAGE PUBLICATIONS INC","0894-4393","1552-8286","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,294","4.3","Q2","1.01","35.43"%,
"INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING","INT J COMPUT INTEG M","TAYLOR & FRANCIS LTD","0951-192X","1362-3052","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","3,854","4.3","Q2","0.71","9.83"%,
"Earth Science Informatics","EARTH SCI INFORM","SPRINGER HEIDELBERG","1865-0473","1865-0481","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","5,925","4.2","Q2","0.8","11.9"%,
"Machine Learning-Science and Technology","MACH LEARN-SCI TECHN","IOP Publishing Ltd","N/A","2632-2153","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","4,910","4.2","Q2","0.79","100"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","IEEE COMPUTER SOC","1545-5963","1557-9964","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","6,707","4.1","Q2","1.37","5.2"%,
"Cybersecurity","CYBERSECURITY","SPRINGERNATURE","2523-3246","2523-3246","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,584","4.1","Q2","0.86","99.61"%,
"ENGINEERING WITH COMPUTERS","ENG COMPUT-GERMANY","SPRINGER","0177-0667","1435-5663","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","9,039","4.1","Q2","0.78","33.41"%,
"COMPUTERS & GEOSCIENCES","COMPUT GEOSCI-UK","PERGAMON-ELSEVIER SCIENCE LTD","0098-3004","1873-7803","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","16,864","4.1","Q2","0.74","25.35"%,
