"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Quartile,2025 JCI,% of Citable OA
"IEEE Transactions on Emerging Topics in Computational Intelligence","IEEE T EM TOP COMP I","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2471-285X","2471-285X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,952","6","Q2","0.95","1.61"%,
"AUTONOMOUS ROBOTS","AUTON ROBOT","SPRINGER","0929-5593","1573-7527","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,113","6","Q2","0.91","50"%,
"DATA MINING AND KNOWLEDGE DISCOVERY","DATA MIN KNOWL DISC","SPRINGER","1384-5810","1573-756X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,784","5.5","Q2","0.98","47.37"%,
"Intelligent Systems with Applications","INTELL SYST APPL","ELSEVIER","N/A","2667-3053","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","2,543","5.5","Q2","0.96","100"%,
"Artificial Intelligence and Law","ARTIF INTELL LAW","SPRINGER","0924-8463","1572-8382","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,421","5.3","Q2","2.04","47.48"%,
"Big Data and Cognitive Computing","BIG DATA COGN COMPUT","MDPI","N/A","2504-2289","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","3,803","5.3","Q2","0.91","100"%,
"ACM Transactions on Autonomous and Adaptive Systems","ACM T AUTON ADAP SYS","ASSOC COMPUTING MACHINERY","1556-4665","1556-4703","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","584","5.2","Q2","0.83","25.37"%,
"CAAI Transactions on Intelligence Technology","CAAI T INTELL TECHNO","WILEY","2468-6557","2468-2322","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,584","5.1","Q2","0.89","100"%,
"Artificial Intelligence in the Life Sciences","ARTIF INTEL LIFE SCI","ELSEVIER","N/A","2667-3185","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","464","5.1","Q2","0.7","100"%,
"IMAGE AND VISION COMPUTING","IMAGE VISION COMPUT","ELSEVIER","0262-8856","1872-8138","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","8,387","5","Q2","1.04","10.59"%,
